"userType","gender","birthYear","state","jurisdiction","jurisdictionOthers","diocese","dioceseOthers","cradleOrConvert","cradleOrConvertOthers","clericalRank","clericalRankOthers","clericalStatus","clericalStatusOthers","parishType","parishTypeOthers","parishRole","parishRoleOthers","academicDegree","academicDegreeOthers","seminarySchool","seminarySchoolOthers","profession","Q1","Q2",,"Q3",,,,,,,,,
"Laity","Male",1999,"Georgia","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"High School Diploma|Some College",,,,"None","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Financial contributions/donations/stability","Youth Ministry (retention and return of youth & young adults)""      ",,,,,,,,,,
"Clergy",,1984,"Florida","Serbian Orthodox Church in North, Central and South America",,"Diocese of Eastern America",,"Cradle",,"Priest",,"Active (primary)",,"Full-time",,,,,,"Other Orthodox seminary/theological school","Orthodox Theological Faculty of the University of Belgrade ",,"Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,,,
"Laity","Female",1988,"Wyoming","Greek Orthodox Archdiocese of America",,"Metropolis of Denver",,"Cradle",,,,,,,,"Ministry/ Organization Leader|Ministry/ Organization President",,"College Degree",,,,"Nurse","Demographic shifts (how to balance the needs of different groups)","Growing the parish","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Laity","Male",2003,"Pennsylvania","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of New York and Washington, D.C.",,"Cradle",,,,,,,,"Ministry/ Organization Leader",,"High School Diploma|College Degree|Some College",,,,"Byzantine Teacher/ Student","Strategies for parish education, catechization, outreach, etc.","Youth Ministry (retention and return of youth & young adults)","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Clergy",,1969,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,"Archpriest/Protopresbyter",,,,,,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Demographic shifts (how to balance the needs of different groups)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Mental health needs of parishioners        ",,,,,,,,,,
"Laity","Male",1977,"Arkansas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Miami and the Southeast",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Manufacturing","Growing the parish","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1965,"North Carolina","Serbian Orthodox Church in North, Central and South America",,"Diocese of Eastern America",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Attorney ","Continuing education/training for clergy","Support for clergy (to avoid burnout)","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Laity","Male",1985,"Illinois","Greek Orthodox Archdiocese of America",,"Metropolis of Chicago",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Librarian","Support for clergy (to avoid burnout)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)""   ",,,,,,,,,,
"Laity","Male",2002,"West Virginia","Greek Orthodox Archdiocese of America",,"Metropolis of New Jersey",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"High School Diploma",,,,"Team associate","Support for clergy (to avoid burnout)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Demographic shifts (how to balance the needs of different groups)""      ",,,,,,,,,,
"Laity","Male",1977,"Oklahoma","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member",,"College Degree",,,,"Instructional technology","Youth Ministry (retention and return of youth & young adults)","Sexual morality","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",2003,"New York","Greek Orthodox Archdiocese of America",,"Direct Archdiocesan District",,"Cradle",,,,,,,,,"Parishioner","High School Diploma|Some College",,,,"Student","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Laity","Female",1964,"Virginia","Greek Orthodox Archdiocese of America",,"Metropolis of New Jersey",,"Converted as an Adult",,,,,,,,,"Secretary / Office Manager / Bokkeeper","College Degree",,,,"Office manager","Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Youth Ministry (retention and return of youth & young adults)""      ",,,,,,,,,,
"Laity","Female",2002,"Connecticut","Greek Orthodox Archdiocese of America",,"Metropolis of Boston",,"Cradle",,,,,,,,"AoB Admin",,"Some College",,,,"Student","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Support for clergy (to avoid burnout)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)""   ",,,,,,,,,,
"Laity","Male",1986,"Texas","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader|Ministry/ Organization  Member",,"Graduate Degree",,,,"Project Manager","Growing the parish","Clergy shortage","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,
"Laity","Male",1949,"California","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Los Angeles and the West",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member",,"Graduate Degree",,,,"Retired","Continuing education/training for clergy","Support for clergy (to avoid burnout)","Influx of new inquirers        ",,,,,,,,,,
"Laity","Female",1962,"Texas","Greek Orthodox Archdiocese of America",,"Metropolis of Denver",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Mental health provider","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,,,
"Laity","Male",1954,"Oregon","Serbian Orthodox Church in North, Central and South America",,"Diocese of Western America",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader|Parish Council President",,"College Degree",,,,"High Technology - retired ","Continuing education/training for clergy","Support for clergy (to avoid burnout)","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Laity","Male",1955,"Georgia","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Cradle",,,,,,,,"Ministry/ Organization Leader|Parish Council Member",".","College Degree",,,,"Development & Construction ","Sexual morality","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,,
"Clergy",,1992,"Massachusetts","Orthodox Church in America",,"Albanian Archdiocese",,"Cradle",,"Deacon",,,,,,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Sexual morality","Youth Ministry (retention and return of youth & young adults)","Mental health needs of parishioners        ",,,,,,,,,,
"Laity","Male",1995,"Connecticut","Greek Orthodox Archdiocese of America",,"Metropolis of Boston",,"Converted as an Adult",,,,,,,,,"Seminarian student","College Degree",,,,"Student","Clergy shortage","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)","Demographic shifts (how to balance the needs of different groups)""   ",,,,,,,,
"Laity","Male",1957,"California","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Los Angeles and the West",,"Cradle",,,,,,,,"Ministry/ Organization Leader|Parish Council Member",,"Graduate Degree",,,,"Education ","Mental health needs of parishioners","Demographic shifts (how to balance the needs of different groups)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Laity","Female",1958,"Michigan","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Toledo and the Midwest",,"Converted as an Adult",,,,,,,,"Ministry/ Organization President",,"Graduate Degree",,,,"Librarian","Demographic shifts (how to balance the needs of different groups)","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Female",1963,"Georgia","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Cradle",,,,,,,,"Ministry/ Organization Leader|Ministry/ Organization  Member|Priest's Wife",,"Graduate Degree",,,,"Business Owner","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,,,
"Laity","Male",1995,"New Hampshire","Orthodox Church in America",,"Diocese of New England",,"Converted as an Adult",,,,,,,,,"Lay person","Graduate Degree",,,,"Consultant","Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)""   ",,,,,,,,,,
"Clergy",,1969,"Florida","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Cradle",,"Archpriest/Protopresbyter",,,,,,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Clergy shortage","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Laity","Male",1981,"Indiana","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of New York and Washington, D.C.",,"Considering Conversion",,,,,,,,,"Not a member yet","Some College",,,,"Design Engineer","Strategies for parish education, catechization, outreach, etc.","Growing the parish","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Female",1979,"Kansas","Orthodox Church in America",,"Diocese of Chicago and the Midwest",,"Converted as an Adult",,,,,,,,,"Secretary & web designer","Some College",,,,"Administrative Associate","Support for clergy (to avoid burnout)","Financial contributions/donations/stability","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",2001,"Illinois","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Toledo and the Midwest",,"Cradle",,,,,,,,"Ministry/ Organization President",,"Some College",,,,"College Student","Demographic shifts (how to balance the needs of different groups)","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1992,"Minnesota","Greek Orthodox Archdiocese of America",,"Metropolis of Chicago",,"Cradle",,,,,,,,"Ministry/ Organization  Member",,"Graduate Degree",,,,"Youth director","Support for clergy (to avoid burnout)","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,,
"Laity","Male",1990,"New York","Greek Orthodox Archdiocese of America",,"Direct Archdiocesan District",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Attorney","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)""   ",,,,,,,,,,
"Laity","Male",1997,"Florida","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,,,,,,,,"Altar Server and Youth Catechism Teacher","College Degree",,,,"Marketing Specialist","Continuing education/training for clergy","Strategies for parish education, catechization, outreach, etc.","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Laity","Female",1978,"Illinois","Greek Orthodox Archdiocese of America",,"Metropolis of Chicago",,"Cradle",,,,,,,,"Ministry/ Organization  Member|Parish Council Treasurer",,"Graduate Degree|College Degree",,,,"Therapist","Mental health needs of parishioners","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,
"Laity","Male",1971,"Wisconsin","Serbian Orthodox Church in North, Central and South America",,"Diocese of Eastern America",,"Cradle",,,,,,,,,"Volunteer ","Some College",,,,"Chef","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)","Support for clergy (to avoid burnout)""   ",,,,,,,,,,
"Laity","Female",1968,"Texas","Greek Orthodox Archdiocese of America",,"Metropolis of Denver",,"Cradle",,,,,,,,"Ministry/ Organization Leader",,"College Degree",,,,"Registered Nurse - Retired","Strategies for parish education, catechization, outreach, etc.","Demographic shifts (how to balance the needs of different groups)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1992,"Massachusetts","Greek Orthodox Archdiocese of America",,"Metropolis of Boston",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Supervisor","Strategies for parish education, catechization, outreach, etc.","Youth Ministry (retention and return of youth & young adults)","Growing the parish        ",,,,,,,,,,
"Laity","Male",1967,"Oregon","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Los Angeles and the West",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Business Owner","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.","Mental health needs of parishioners        ",,,,,,,,,,
"Laity","Male",1956,"West Virginia","Greek Orthodox Archdiocese of America",,"Metropolis of Pittsburgh",,"Cradle",,,,,,,,"Parish Council Member|Parish Council President",,"College Degree",,,,"Retired","Demographic shifts (how to balance the needs of different groups)","Clergy shortage","Growing the parish        ",,,,,,,,,,
"Laity","Female",1962,"Pennsylvania","Orthodox Church in America",,"Diocese of Philadelphia and Eastern Pennsylvania",,"Cradle",,,,,,,,"Ministry/ Organization Leader",,"Some College",,,,"Homemaker ","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Growing the parish""      ",,,,,,,,,,,
"Laity","Male",1998,"Colorado","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Agriculture/Marketing Professional","Influx of new inquirers","Growing the parish","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Laity","Male",1972,"Texas","Greek Orthodox Archdiocese of America",,"Metropolis of Denver",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Some College",,,,"Small Business Owner","Sexual morality","Continuing education/training for clergy","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Laity","Male",1986,"Tennessee","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Miami and the Southeast",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Design Lead at a marketing agency","Strategies for parish education, catechization, outreach, etc.","Youth Ministry (retention and return of youth & young adults)","Sexual morality        ",,,,,,,,,,
"Laity","Female",1966,"Pennsylvania","Orthodox Church in America",,"Albanian Archdiocese",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization","Parishioner ","College Degree",,,,"None","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Youth Ministry (retention and return of youth & young adults)","Growing the parish        ",,,,,,,,,,
"Laity","Male",1975,"Texas","Greek Orthodox Archdiocese of America",,"Metropolis of Denver",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Risk management ","Continuing education/training for clergy","Demographic shifts (how to balance the needs of different groups)","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Laity","Male",1995,"Idaho","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Los Angeles and the West",,"Converted as a Child",,,,,,,,"Parishioner not involved in a Ministry/ Organization","Alter Server ","College Degree",,,,"Pharmacy Administration ","Influx of new inquirers","Financial contributions/donations/stability","Growing the parish        ",,,,,,,,,,
"Laity","Male",1962,"North Carolina","Russian Orthodox Church Outside of Russia",,"Eastern America and New York Diocese",,"Converted as an Adult",,,,,,,,"Parish Council Member",,"College Degree",,,,"Engineering ","Influx of new inquirers","Support for clergy (to avoid burnout)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Laity","Male",1995,"Florida","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Miami and the Southeast",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Analyst ","Support for clergy (to avoid burnout)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Financial contributions/donations/stability""      ",,,,,,,,,,
"Laity","Male",1989,"Michigan","Greek Orthodox Archdiocese of America",,"Metropolis of Detroit",,"Converted as an Adult",,,,,,,,,"No Role","Graduate Degree",,,,"Counselor ","Growing the parish","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1955,"Mississippi","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,,,,,,,"Parish Council Treasurer",,"Some College",,,,"Retired Pentecostal Pastor and Church Planter","Growing the parish","Financial contributions/donations/stability","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,
"Laity","Female",1960,"Florida","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,,,,,,,"Parish Council Member",,"College Degree",,,,"Nursing","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,,,
"Laity","Female",1987,"Texas","Greek Orthodox Archdiocese of America",,"Metropolis of Denver",,"Cradle",,,,,,,,"Ministry/ Organization Leader|Ministry/ Organization  Member",,"Graduate Degree",,,,"Full time ministry","Continuing education/training for clergy","Mental health needs of parishioners","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Clergy",,1976,"Texas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,"Deacon",,,,,,,,,,"Antiochian House of Studies",,,"Growing the parish","Youth Ministry (retention and return of youth & young adults)","Financial contributions/donations/stability        ",,,,,,,,,,
"Laity","Female",1963,"New Jersey","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader|Deacon's Wife",,"Graduate Degree",,,,"happily retired","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,,
"Laity","Male",1974,"Indiana",,"Considering conversion, eager to learn.",,,"Considering Conversion",,,,,,,,,"Considering conversion, eager to learn.","Graduate Degree",,,,"Analyst","Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Mental health needs of parishioners""      ",,,,,,,,,,
"Laity","Male",1952,"South Carolina","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Social Work","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,,,
"Laity","Male",1988,"Tennessee","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member",,"Graduate Degree",,,,"Contractor","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1990,"Washington","Greek Orthodox Archdiocese of America",,"Metropolis of San Francisco",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Government","Youth Ministry (retention and return of youth & young adults)","Influx of new inquirers","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1960,"Tennessee","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Parish Council Member",,"Graduate Degree",,,,"Mathematician","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Influx of new inquirers","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Male",1996,"New Jersey","Greek Orthodox Archdiocese of America",,"Metropolis of New Jersey",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Medical student","Strategies for parish education, catechization, outreach, etc.","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1992,"California","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Los Angeles and the West",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader",,"College Degree",,,,"Pilot","Demographic shifts (how to balance the needs of different groups)","Support for clergy (to avoid burnout)","Influx of new inquirers        ",,,,,,,,,,
"Laity","Male",1985,"Virginia","Greek Orthodox Archdiocese of America",,"Greek Orthodox Archdiocese of America",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Teacher","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Influx of new inquirers","Growing the parish        ",,,,,,,,,,
"Laity","Male",1997,"New Jersey","Greek Orthodox Archdiocese of America",,"Metropolis of New Jersey",,"Cradle",,,,,,,,"Ministry/ Organization  Member|Ministry/ Organization Leader",,"College Degree",,,,"Finance/Cryptocurrency Business Development","Demographic shifts (how to balance the needs of different groups)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Male",1953,"Georgia","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Cradle",,,,,,,,"Ministry/ Organization Leader",,"College Degree",,,,"Restaurants ","Growing the parish","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Clergy",,1952,"Texas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,"Deacon",,,,,,,,,,"An Orthodox Christian distance learning program ","4206 Emerson St.",,"Financial contributions/donations/stability","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Clergy",,1994,"New York","Russian Orthodox Church Outside of Russia",,"Eastern America and New York Diocese",,"Converted as an Adult",,"Priest",,"Active (primary)",,"Part-time",,,,,,"Holy Trinity Orthodox Seminary: Jordanville, New York",,,"Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Continuing education/training for clergy","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Male",1978,"Kentucky","Greek Orthodox Archdiocese of America",,"Metropolis of Denver",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Research Institute Director ","Demographic shifts (how to balance the needs of different groups)","Support for clergy (to avoid burnout)","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Laity","Male",1965,"Florida","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Cradle",,,,,,,,,"Home fellowship ","Graduate Degree",,,,"Teacher","Influx of new inquirers","Youth Ministry (retention and return of youth & young adults)","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Laity","Male",2002,"Minnesota","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Toledo and the Midwest",,"Cradle",,,,,,,,"Ministry/ Organization  Member","Chanter","College Degree",,,,"Student","Demographic shifts (how to balance the needs of different groups)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,
"Clergy",,1953,"Ohio","Greek Orthodox Archdiocese of America",,"Metropolis of Pittsburgh",,"Converted as a Child",,"Archpriest/Protopresbyter",,,,,,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Demographic shifts (how to balance the needs of different groups)""      ",,,,,,,,,,
"Laity","Male",1975,"Tennessee","Greek Orthodox Archdiocese of America",,"Metropolis of Detroit",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Some College",,,,"IT Management","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Male",1946,"Massachusetts","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Worcester and New England",,"Converted as an Adult",,,,,,,,,"Parishioner ","Graduate Degree",,,,"Retired bank trust administrator","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Growing the parish","Youth Ministry (retention and return of youth & young adults)""      ",,,,,,,,,,
"Laity","Male",1993,"South Carolina","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader",,"Some College",,,,"Choir director/ Parish administrator","Financial contributions/donations/stability","Influx of new inquirers","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,
"Laity","Male",1993,"Indiana","Orthodox Church in America",,"Diocese of Chicago and the Midwest",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Information Technology","Strategies for parish education, catechization, outreach, etc.","Growing the parish","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Female",1951,"Georgia","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"physician","Mental health needs of parishioners","Support for clergy (to avoid burnout)","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Laity","Male",1986,"Pennsylvania","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Software Engineer ","Sexual morality","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Male",1977,"Indiana","Orthodox Church in America",,"Diocese of Chicago and the Midwest",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Professor / Librarian ","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.","Mental health needs of parishioners""   ",,,,,,,,,,
"Laity","Female",1974,"Florida","Ukrainian Orthodox Church of the USA",,"Eastern Eparchy",,"Converted as an Adult",,,,,,,,"Priest's Wife",,"College Degree",,,,"Student nutrition ","Growing the parish","Youth Ministry (retention and return of youth & young adults)","Influx of new inquirers","Strategies for parish education, catechization, outreach, etc.","Support for clergy (to avoid burnout)","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,
"Laity","Female",1960,"South Carolina","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member",,"High School Diploma",,,,"Professional nanny","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,,,
